toss_winner_is_team1,toss_decision,venue,team1_win_rate,team2_win_rate,win_rate_diff,recent_form_diff,h2h_diff,experience_diff
1,0,22,0.4925373134328358,0.5,-0.007462686567164201,-1,0.1,5
0,1,16,0.453125,0.5538461538461539,-0.10072115384615388,-2,-0.1,-1
0,1,26,0.5942028985507246,0.49206349206349204,0.10213940648723258,0,0.3,6
0,0,16,0.46153846153846156,0.45161290322580644,0.009925558312655125,0,0.0,3
1,1,14,0.4375,0.5454545454545454,-0.10795454545454541,-1,-0.6,-2
0,1,26,0.6,0.6,0.0,2,0.0,65
0,1,14,0.4307692307692308,0.4603174603174603,-0.0295482295482295,-1,0.0,2
0,1,43,0.484375,0.5,-0.015625,1,0.0,58
1,1,51,0.5522388059701493,0.5,0.052238805970149294,-1,0.0,-1
0,0,26,0.6056338028169014,0.4393939393939394,0.166239863422962,3,0.3,5
1,0,43,0.49230769230769234,0.4927536231884058,-0.0004459308807134854,0,-0.2,-4
1,1,51,0.5588235294117647,0.453125,0.10569852941176472,1,-0.2,4
0,1,40,0.42857142857142855,0.5652173913043478,-0.13664596273291924,-1,0.0,-62
0,1,45,0.45454545454545453,0.43283582089552236,0.02170963364993217,0,-0.2,-1
1,1,26,0.6111111111111112,0.4461538461538462,0.16495726495726498,3,0.3,7
0,1,14,0.4264705882352941,0.5,-0.0735294117647059,-2,-0.1,2
0,1,40,0.5,0.4626865671641791,0.03731343283582089,0,0.1,-59
1,1,51,0.5571428571428572,0.6164383561643836,-0.05929549902152642,-2,0.2,-3
1,0,38,0.4393939393939394,0.4857142857142857,-0.04632034632034632,-1,0.0,-4
0,1,43,0.4925373134328358,0.45588235294117646,0.03665496049165934,0,-0.1,-1
1,1,51,0.5633802816901409,0.43478260869565216,0.1285976729944887,2,0.7,2
1,0,40,0.5555555555555556,0.6081081081081081,-0.052552552552552534,-1,-0.1,-65
0,0,38,0.44776119402985076,0.5,-0.05223880597014924,-1,-0.4,-1
1,0,16,0.4492753623188406,0.4788732394366197,-0.029597877117779114,0,0.0,-2
1,0,38,0.4411764705882353,0.5,-0.05882352941176472,-1,-0.1,58
1,0,20,0.42857142857142855,0.4861111111111111,-0.05753968253968256,0,-0.1,-2
1,0,43,0.5072463768115942,0.6133333333333333,-0.10608695652173905,0,-0.4,-6
0,1,51,0.5694444444444444,0.5454545454545454,0.023989898989899006,1,-0.1,61
0,0,22,0.4794520547945205,0.43478260869565216,0.04466944609886836,0,-0.1,4
1,1,26,0.6052631578947368,0.44285714285714284,0.162406015037594,2,0.3,6
0,0,51,0.5753424657534246,0.5142857142857142,0.06105675146771039,0,0.0,3
0,0,17,0.44285714285714284,0.43661971830985913,0.00623742454728371,1,0.1,-1
1,1,40,0.5,0.5070422535211268,-0.007042253521126751,0,-0.1,-59
0,0,17,0.4507042253521127,0.581081081081081,-0.13037685572896834,-1,0.1,-3
0,0,22,0.47297297297297297,0.6103896103896104,-0.1374166374166374,-2,-0.3,-3
0,1,40,0.5384615384615384,0.43661971830985913,0.10184182015167931,1,-0.1,-58
1,1,16,0.6025641025641025,0.5733333333333334,0.02923076923076917,-2,-0.3,3
0,1,16,0.5,0.5714285714285714,-0.0714285714285714,0,0.0,58
0,1,14,0.5657894736842105,0.5068493150684932,0.05894015861571733,0,0.1,3
0,1,14,0.6075949367088608,0.5714285714285714,0.03616636528028938,0,-0.2,2
0,1,47,0.5769230769230769,0.4305555555555556,0.1463675213675213,1,0.8,6
0,0,46,0.4305555555555556,0.48,-0.0494444444444444,-2,-0.1,-3
1,1,47,0.6,0.4583333333333333,0.14166666666666666,-1,0.4,8
0,0,47,0.5333333333333333,0.5,0.033333333333333326,1,-0.1,-59
1,0,13,0.4868421052631579,0.569620253164557,-0.08277814790139909,1,-0.1,-3
1,1,13,0.4383561643835616,0.4246575342465753,0.0136986301369863,3,0.1,0
0,0,46,0.5066666666666667,0.4657534246575342,0.04091324200913249,-2,0.5,2
1,1,47,0.5925925925925926,0.43243243243243246,0.1601601601601601,1,0.4,7
0,0,46,0.47297297297297297,0.5,-0.02702702702702703,3,-0.2,58
1,0,13,0.5,0.5975609756097561,-0.09756097560975607,0,-0.3,-6
1,0,46,0.4935064935064935,0.43243243243243246,0.06107406107406105,1,0.0,3
1,1,13,0.47058823529411764,0.4266666666666667,0.043921568627450946,1,0.2,-58
0,1,13,0.6024096385542169,0.5625,0.03990963855421692,1,-0.3,3
1,0,47,0.4935064935064935,0.48717948717948717,0.006327006327006335,-1,-0.1,-1
1,0,47,0.44,0.48,-0.03999999999999998,-2,0.1,0
0,1,46,0.42105263157894735,0.5555555555555556,-0.13450292397660824,-1,0.0,-5
1,1,46,0.5,0.6071428571428571,-0.1071428571428571,-1,-0.2,-66
1,0,13,0.4868421052631579,0.4810126582278481,0.005829447035309798,2,0.2,-3
0,1,47,0.4342105263157895,0.5,-0.06578947368421051,0,0.0,-2
1,0,13,0.5487804878048781,0.47368421052631576,0.07509627727856233,0,0.0,63
1,1,20,0.611764705882353,0.42857142857142855,0.18319327731092444,2,0.4,8
0,1,51,0.5421686746987951,0.4935064935064935,0.048662181192301646,-5,-0.2,6
0,0,16,0.42857142857142855,0.5063291139240507,-0.07775768535262212,-1,0.0,-2
1,0,22,0.475,0.5,-0.025000000000000022,0,0.0,60
0,0,42,0.5125,0.4230769230769231,0.08942307692307688,2,0.1,2
0,0,16,0.4230769230769231,0.6162790697674418,-0.19320214669051877,-3,-0.5,-8
0,0,51,0.5476190476190477,0.48148148148148145,0.06613756613756622,-1,0.0,3
1,1,16,0.4177215189873418,0.4177215189873418,0.0,0,0.0,0
0,0,2,0.48717948717948717,0.6206896551724138,-0.13351016799292664,-1,-0.3,-9
1,0,42,0.5185185185185185,0.47619047619047616,0.042328042328042326,2,0.2,60
1,0,22,0.47560975609756095,0.4936708860759494,-0.018061129978388435,-3,-0.3,3
0,0,16,0.4125,0.5,-0.08750000000000002,-2,-0.3,58
0,0,51,0.5529411764705883,0.6136363636363636,-0.06069518716577538,-2,0.2,-3
0,0,2,0.5,0.425,0.07500000000000001,3,0.0,0
1,1,22,0.46987951807228917,0.5121951219512195,-0.04231560387893035,-3,0.0,1
1,1,40,0.5217391304347826,0.5465116279069767,-0.02477249747219412,1,0.1,-63
0,1,20,0.6179775280898876,0.5180722891566265,0.09990523893326109,0,0.4,6
0,0,22,0.4642857142857143,0.4074074074074074,0.05687830687830692,0,0.2,3
0,0,40,0.5,0.49382716049382713,0.006172839506172867,0,0.1,-57
1,0,2,0.43209876543209874,0.5517241379310345,-0.11962537249893573,-1,-0.7,-6
0,0,42,0.5119047619047619,0.4024390243902439,0.10946573751451794,3,0.1,2
1,1,20,0.6222222222222222,0.47058823529411764,0.1516339869281046,2,0.2,5
1,1,40,0.48,0.43902439024390244,0.04097560975609754,-1,0.0,-57
0,1,42,0.5176470588235295,0.5454545454545454,-0.027807486631015954,0,-0.2,-3
0,0,16,0.39759036144578314,0.5,-0.10240963855421686,-3,-0.2,1
0,1,40,0.46153846153846156,0.47674418604651164,-0.015205724508050078,0,-0.1,-60
1,0,14,0.4457831325301205,0.6153846153846154,-0.16960148285449494,1,-0.5,-8
0,0,38,0.5060240963855421,0.550561797752809,-0.04453770136726687,1,0.1,-6
0,0,14,0.4523809523809524,0.47126436781609193,-0.01888341543513955,3,0.1,-3
